2.716,-0.879,-1.547,0.201,-0.039,0.064,-0.104,-0.013,-0.401,1.316
3.345,-1.154,1.839,0.142,0.135,-0.037,0.043,0.123,0.003,-1.357
0.444,4.702,1.159,11.475,-3.305,12.694,1.515,5.749,4.171,1.381
2.875,-1.149,-1.078,1.212,-3.418,-1.532,-0.802,-2.199,1.933,0.810
4.708,-1.177,0.360,0.019,0.059,-0.136,0.034,-0.031,-0.347,-0.591
1.870,1.298,1.642,0.148,-0.009,0.076,0.121,0.027,0.021,-1.546
3.465,1.464,1.886,0.177,0.203,-0.236,0.089,-0.045,-0.114,-1.582
3.912,0.178,-0.372,0.121,0.047,-0.226,0.075,-0.109,-0.352,-0.021
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.974,1.601,-0.239,0.347,0.111,-0.358,0.056,-0.226,-0.552,-0.172
4.398,1.409,0.034,0.219,0.140,-0.328,0.034,-0.270,-0.509,-0.401
3.849,-1.147,-0.385,0.289,0.056,-0.149,0.001,-0.090,-0.409,0.107
0.612,-1.025,0.358,0.253,-0.126,0.404,-0.024,0.275,-0.003,-0.293
3.146,-0.847,-1.173,0.035,-0.051,0.058,-0.059,0.058,-0.356,0.900
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
1.975,-1.048,-1.121,0.130,-0.202,0.305,-0.033,0.122,-0.353,0.472
2.526,1.386,-0.628,-0.109,-0.137,0.234,-0.065,-0.144,-0.331,0.278
2.893,0.153,-0.364,-0.249,-0.180,0.266,0.015,0.079,-0.262,-0.222
4.398,1.409,0.034,0.219,0.140,-0.328,0.034,-0.270,-0.509,-0.401
1.545,-1.080,-1.494,0.295,-0.190,0.311,-0.079,0.051,-0.398,0.888
3.143,-1.037,-1.176,0.156,0.004,0.108,-0.176,-0.107,-0.412,1.165
2.764,1.799,1.195,0.006,0.109,-0.015,-0.021,0.051,-0.115,-0.710
2.764,1.799,1.195,0.006,0.109,-0.015,-0.021,0.051,-0.115,-0.710
3.722,2.695,0.571,0.002,-0.046,-0.176,0.187,-0.123,-0.430,-1.426
3.145,-0.942,-1.175,0.096,-0.024,0.083,-0.117,-0.025,-0.384,1.033
3.759,3.069,-0.644,-0.120,0.037,-0.185,-0.002,-0.192,-0.453,0.343
2.472,2.836,-0.539,0.626,-3.585,-1.308,-0.747,-2.179,1.955,-0.081
1.148,-1.009,-1.137,-0.017,-0.145,0.185,-0.005,0.107,-0.383,0.525
1.148,-1.009,-1.137,-0.017,-0.145,0.185,-0.005,0.107,-0.383,0.525
2.317,-1.420,1.023,0.909,-3.553,-1.209,-0.713,-1.871,2.267,-1.389
2.466,0.366,-0.917,0.445,-3.343,-1.477,-0.812,-2.156,2.007,0.898
3.386,1.451,0.119,-0.439,-0.161,0.222,0.026,-0.003,-0.241,-0.553
3.145,-0.942,-1.175,0.096,-0.024,0.083,-0.117,-0.025,-0.384,1.033
2.715,-0.974,-1.548,0.261,-0.012,0.089,-0.163,-0.095,-0.429,1.448
3.573,-1.004,-0.802,-0.009,-0.008,0.102,-0.130,-0.036,-0.367,0.750
4.278,-1.209,-0.013,0.184,0.071,-0.130,-0.012,-0.102,-0.392,-0.176
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
0.612,-1.025,0.358,0.253,-0.126,0.404,-0.024,0.275,-0.003,-0.293
4.757,-0.687,0.939,3.097,4.406,-10.424,-10.754,14.966,8.627,-0.195
4.033,-1.250,1.291,0.057,0.084,-0.067,0.019,0.104,-0.124,-1.248
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
1.545,-1.080,-1.494,0.295,-0.190,0.311,-0.079,0.051,-0.398,0.888
1.645,3.105,-1.779,0.169,0.103,-0.311,-0.052,-0.336,-0.590,1.510
4.892,2.801,0.518,-0.032,0.132,-0.398,0.104,-0.269,-0.461,-0.865
0.444,4.702,1.159,11.475,-3.305,12.694,1.515,5.749,4.171,1.381
2.991,-1.117,-1.130,0.560,0.053,-0.162,-0.032,-0.149,-0.471,0.806
2.287,-0.912,-1.920,0.366,-0.027,0.070,-0.150,-0.084,-0.446,1.731
1.975,-1.048,-1.121,0.130,-0.202,0.305,-0.033,0.122,-0.353,0.472
2.863,-1.356,1.344,0.091,-0.094,0.155,0.103,0.251,-0.093,-1.809
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
2.863,-1.356,1.344,0.091,-0.094,0.155,0.103,0.251,-0.093,-1.809
2.716,-0.879,-1.547,0.201,-0.039,0.064,-0.104,-0.013,-0.401,1.316
2.716,-0.879,-1.547,0.201,-0.039,0.064,-0.104,-0.013,-0.401,1.316
2.901,3.099,-1.389,0.150,0.034,-0.197,-0.035,-0.251,-0.515,1.041
2.771,2.766,1.084,-0.259,-0.086,0.144,0.041,0.066,-0.165,-1.440
2.210,-0.981,0.676,0.114,0.067,0.201,-0.121,0.117,-0.017,-0.016
2.916,-1.092,1.467,0.247,0.120,-0.056,0.056,0.135,-0.014,-1.074
4.462,2.769,0.144,0.133,0.144,-0.391,0.058,-0.340,-0.506,-0.450
2.640,-0.949,1.050,-0.051,0.055,0.194,-0.075,0.188,0.028,-0.431
2.287,-0.912,-1.920,0.366,-0.027,0.070,-0.150,-0.084,-0.446,1.731
4.148,-0.839,5.322,-7.454,-0.055,3.654,0.095,1.147,4.782,3.603
4.462,2.769,0.144,0.133,0.144,-0.391,0.058,-0.340,-0.506,-0.450
4.462,2.769,0.144,0.133,0.144,-0.391,0.058,-0.340,-0.506,-0.450
4.462,2.769,0.144,0.133,0.144,-0.391,0.058,-0.340,-0.506,-0.450
2.716,-0.879,-1.547,0.201,-0.039,0.064,-0.104,-0.013,-0.401,1.316
1.107,3.008,-1.144,0.049,0.017,-0.088,0.050,-0.166,-0.554,0.470
3.145,-0.942,-1.175,0.096,-0.024,0.083,-0.117,-0.025,-0.384,1.033
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
3.291,-1.418,1.716,-0.014,-0.079,0.174,0.090,0.239,-0.076,-2.092
